yy;mm;dd;14158_1;14246_1;14271;9573;9317;14444;9068;9101;9167;9177;9191;9192;9230;9244;9287;9289;9310;9404
1961;5;18;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0.2
1961;5;19;0;0;0;4.4;0;0;NA;0;NA;0;NA;NA;0.6;0;0;NA;NA;0
1961;5;20;0;0;0.4;6.6;0;0;NA;2.5;NA;0;NA;NA;5;0.5;0;NA;NA;2.6
1961;5;21;0;0.2;0.6;0.4;1.2;6;NA;3.2;NA;0.6;NA;NA;4;0.4;1;NA;NA;1
1961;5;22;14.4;13.2;12.4;21.2;7;34;NA;23.3;NA;12;NA;NA;22;14.4;11.3;NA;NA;15.2
1961;5;23;3.4;1.2;0;0.4;0;2;NA;0;NA;1;NA;NA;0;3.6;2.3;NA;NA;0.2
1961;5;24;10.4;0;14;1.8;2.2;0;NA;10.4;NA;0.4;NA;NA;0;4.2;7.3;NA;NA;3
1961;5;25;0;0;0;0.2;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;5;26;0;0;0;0.2;0;0;NA;0;NA;0;NA;NA;2.3;1.6;0.2;NA;NA;1.6
1961;5;27;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0.7;0;NA;NA;0
1961;5;28;0;0.6;0;0;0;5.9;NA;0;NA;0.2;NA;NA;0;2.3;0;NA;NA;0
